firstname,lastname,lastteam,age,height,weight,experience,careerfg,careerfg3,careerfg3a,careerfg3perc,careerfga,careerfgperc,careerftperc,careergamesplayed,careerminutes,careerppg,2013fg,2013fg3,2013fg3a,2013fg3perc,2013fga,2013fgperc,2013ftperc,2013gamesplayed,2013minutes,vol3ptcareer,vol3pt2013,usagecareer,usage2013,2014fg3perc
Spencer,Hawes,Los Angeles Clippers,26,85,245,7.0,2080,259,721,35.9,4484,46.4,70.2,522,12810,9.5,403,128,308,41.6,883,45.6,78.3,80,2470,0.05628415300546448,0.12469635627530365,110038.39080459773,27262.625,29.084719631556663
Chuck,Hayes,Toronto Raptors,31,78,240,9.0,1038,0,14,0.0,2082,49.9,61.7,628,11686,3.8,56,0,1,0.0,130,43.1,80.0,61,753,0.001198014718466541,0.0013280212483399733,38742.43949044587,1604.7540983606561,3.2402395951250114
Gordon,Hayward,Utah Jazz,24,80,225,4.0,1358,326,892,36.5,3093,43.9,81.1,317,9187,12.6,426,85,280,30.4,1032,41.3,81.6,77,2800,0.09709371938608903,0.1,89638.45741324921,37527.27272727273,34.962127157603796
Gerald,Henderson,Charlotte Hornets,27,77,215,5.0,1509,108,357,30.3,3388,44.5,78.6,340,9149,11.7,403,40,115,34.8,930,43.3,76.1,77,2461,0.03902065799540933,0.04672897196261682,91167.09411764707,29723.76623376624,24.15320910432475
Xavier,Henry,Los Angeles Lakers,23,78,220,4.0,368,41,126,32.5,907,40.6,63.5,185,2905,5.7,144,28,81,34.6,345,41.7,65.5,43,908,0.04337349397590362,0.08920704845814978,14242.351351351352,7285.116279069767,24.473033123347456
John,Henson,Milwaukee Bucks,24,83,230,2.0,535,0,4,0.0,1026,52.1,53.0,149,2892,8.2,344,0,1,0.0,639,53.8,51.4,70,1856,0.0013831258644536654,0.0005387931034482759,19914.04026845637,16942.62857142857,1.5094085976791445
Roy,Hibbert,Indiana Pacers,28,86,290,6.0,2158,6,21,28.6,4632,46.6,74.1,484,12614,11.2,331,2,5,40.0,754,43.9,77.0,81,2409,0.001664816870144284,0.0020755500207555004,120719.10743801654,22424.518518518522,17.18064606138301
JJ,Hickson,Denver Nuggets,26,81,242,6.0,1814,0,18,0.0,3584,50.6,63.7,448,10485,10.0,332,0,8,0.0,654,50.8,51.7,69,1859,0.0017167381974248926,0.004303388918773535,83880.0,17620.08695652174,5.244515506819659
George,Hill,Indiana Pacers,28,75,188,6.0,1631,462,1240,37.3,3639,44.8,80.8,436,12093,10.7,272,95,260,36.5,616,44.2,80.7,76,2434,0.10253865872818986,0.10682004930156122,100932.17201834863,19728.210526315783,35.02687858349406
Jordan,Hill,Los Angeles Lakers,27,82,235,5.0,868,0,11,0.0,1714,50.6,69.8,289,5141,7.3,286,0,1,0.0,521,54.9,68.5,72,1500,0.0021396615444466056,0.0006666666666666666,30490.2214532872,10854.166666666666,3.422096679133304
Solomon,Hill,Indiana Pacers,23,79,225,1.0,131,35,113,31.0,327,40.1,79.2,59,1220,6.3,17,7,23,30.4,40,42.5,85.7,28,226,0.09262295081967213,0.10176991150442477,6761.694915254238,322.8571428571429,28.22435438605866
Kirk,Hinrich,Chicago Bulls,33,76,190,11.0,3378,1120,2971,37.7,8193,41.2,79.9,792,25466,11.7,243,85,242,35.1,619,39.3,76.0,73,2116,0.1166653577318778,0.11436672967863895,263438.053030303,17942.520547945205,37.01276212500419
Jrue,Holiday,New Orleans Pelicans,24,76,205,5.0,1983,363,975,37.2,4518,43.9,78.9,362,11958,13.7,203,30,77,39.0,454,44.7,81.0,34,1143,0.08153537380832915,0.0673665791776028,149243.7679558011,15262.411764705883,34.50271250679033
Ryan,Hollins,Sacramento Kings,30,84,240,8.0,603,0,1,0.0,1043,57.8,65.8,454,5417,3.8,53,0,0,0.0,72,73.6,62.5,61,482,0.0001846040243677312,0.0,12444.781938325992,568.9180327868852,2.2038557779859396
Scotty,Hopson,Sacramento Kings,24,79,204,1.0,0,0,2,0.0,4,0.0,50.0,2,7,0.5,0,0,2,0.0,4,0.0,50.0,2,7,0.2857142857142857,0.2857142857142857,14.0,14.0,21.827349473616085
Al,Horford,Atlanta Hawks,28,82,250,7.0,2694,15,44,34.1,4984,54.1,73.6,450,15293,14.0,238,4,11,36.4,420,56.7,68.2,29,958,0.0028771333289740408,0.011482254697286013,169378.47111111108,13874.482758620688,21.992464595621247
Dwight,Howard,Houston Rockets,29,83,275,10.0,5088,4,47,8.5,8795,57.9,57.3,784,28134,18.3,473,2,7,28.6,800,59.1,54.7,71,2396,0.001670576526622592,0.002921535893155259,315610.36989795923,26997.183098591548,7.518642784281059
Robbie,Hummel,Minnesota Timberwolves,25,81,219,1.0,98,38,113,33.6,245,40.0,82.9,78,939,3.4,67,32,89,36.0,177,37.9,93.8,53,655,0.12034078807241748,0.13587786259541984,2949.4230769230767,2187.4528301886794,30.779643392508216
Kris,Humphries,Washington Wizards,29,81,235,10.0,1756,2,23,8.7,3740,47.0,68.7,655,11976,6.8,231,0,2,0.0,461,50.1,81.2,69,1376,0.001920507682030728,0.0014534883720930232,68382.04580152672,9193.275362318842,11.921370087199271
Serge,Ibaka,Oklahoma City Thunder,25,82,245,5.0,1948,88,232,37.9,3624,53.8,73.7,413,11488,11.1,524,23,60,38.3,978,53.6,78.4,81,2666,0.0201949860724234,0.02250562640660165,100805.11380145277,32189.481481481478,27.690307562152903
Andre,Iguodala,Golden State Warriors,30,78,215,10.0,3995,742,2240,33.1,8677,46.0,71.8,787,28815,14.3,220,62,175,35.4,458,48.0,65.2,63,2040,0.07773728960610793,0.0857843137254902,317697.2744599746,14830.47619047619,31.43038058287208
Ersan,Ilyasova,Milwaukee Bucks,27,82,235,6.0,1665,370,1018,36.3,3742,44.5,78.9,415,9892,10.5,237,37,131,28.2,579,40.9,82.3,55,1478,0.10291144359078044,0.08863328822733424,89194.85301204819,15559.309090909092,33.55491261942617
Kyrie,Irving,Cleveland Cavaliers,22,75,193,3.0,1568,351,929,37.8,3484,45.0,85.8,209,7164,20.6,532,123,344,35.8,1237,43.0,86.1,71,2496,0.12967615857063094,0.13782051282051286,119422.85167464115,43486.64788732393,39.97772726099032
Royal,Ivey,Oklahoma City Thunder,33,76,200,9.0,622,162,449,36.1,1531,40.6,70.6,492,6162,3.3,0,0,1,0.0,2,0.0,0.0,2,5,0.07286595261278805,0.2,19174.841463414643,5.0,29.82987677887731
Jarrett,Jack,Brooklyn Nets,31,75,200,9.0,2804,531,1509,35.2,6309,44.4,85.2,720,20067,10.9,286,63,185,34.1,698,41.0,83.9,80,2252,0.07519808641052474,0.08214920071047957,175837.0875,19648.7,33.54134424822708
Reggie,Jackson,Oklahoma City Thunder,24,75,208,3.0,769,149,518,28.8,1792,42.9,88.2,223,4683,9.0,403,83,245,33.9,916,44.0,89.3,80,2277,0.11061285500747384,0.10759771629336846,37632.0,26071.65,31.536175763454263
Stephen,Jackson,Los Angeles Clippers,35,80,220,13.0,4604,1252,3763,33.3,11112,41.4,79.8,858,27396,15.1,6,1,14,7.1,26,23.1,50.0,9,107,0.1373558183676449,0.1308411214953271,354806.9370629371,309.1111111111111,36.52717543268032
Bernard,James,Dallas Mavericks,28,82,240,2.0,64,0,3,0.0,126,50.8,59.6,76,603,2.1,11,0,1,0.0,23,47.8,54.5,30,146,0.0049751243781094535,0.00684931506849315,999.7105263157896,111.93333333333334,0.0
